RUN	20140318100723	pricingsimulation	pricingsimulation
SCENARIO	Pricing	305	START	1395137245686
SCENARIO	Pricing	251	START	1395137245688
SCENARIO	Pricing	395	START	1395137245688
SCENARIO	Pricing	390	START	1395137245688
SCENARIO	Pricing	272	START	1395137245688
SCENARIO	Pricing	117	START	1395137245688
SCENARIO	Pricing	7	START	1395137245688
SCENARIO	Pricing	137	START	1395137245688
SCENARIO	Pricing	359	START	1395137245691
SCENARIO	Pricing	201	START	1395137245691
SCENARIO	Pricing	434	START	1395137245691
SCENARIO	Pricing	483	START	1395137245691
SCENARIO	Pricing	203	START	1395137245691
SCENARIO	Pricing	378	START	1395137245691
SCENARIO	Pricing	524	START	1395137245691
SCENARIO	Pricing	493	START	1395137245692
SCENARIO	Pricing	451	START	1395137245692
SCENARIO	Pricing	247	START	1395137245692
SCENARIO	Pricing	34	START	1395137245692
SCENARIO	Pricing	474	START	1395137245692
SCENARIO	Pricing	97	START	1395137245692
SCENARIO	Pricing	259	START	1395137245692
SCENARIO	Pricing	562	START	1395137245692
SCENARIO	Pricing	448	START	1395137245692
SCENARIO	Pricing	589	START	1395137245692
SCENARIO	Pricing	8	START	1395137245693
SCENARIO	Pricing	291	START	1395137245693
SCENARIO	Pricing	469	START	1395137245693
SCENARIO	Pricing	413	START	1395137245694
SCENARIO	Pricing	371	START	1395137245694
SCENARIO	Pricing	346	START	1395137245695
SCENARIO	Pricing	115	START	1395137245695
SCENARIO	Pricing	486	START	1395137245695
SCENARIO	Pricing	299	START	1395137245695
SCENARIO	Pricing	306	START	1395137245695
SCENARIO	Pricing	573	START	1395137245695
SCENARIO	Pricing	580	START	1395137245695
SCENARIO	Pricing	586	START	1395137245695
SCENARIO	Pricing	134	START	1395137245695
SCENARIO	Pricing	392	START	1395137245695
SCENARIO	Pricing	178	START	1395137245696
SCENARIO	Pricing	36	START	1395137245696
SCENARIO	Pricing	65	START	1395137245696
SCENARIO	Pricing	83	START	1395137245696
SCENARIO	Pricing	107	START	1395137245696
SCENARIO	Pricing	407	START	1395137245696
SCENARIO	Pricing	430	START	1395137245696
SCENARIO	Pricing	5	START	1395137245696
SCENARIO	Pricing	264	START	1395137245696
SCENARIO	Pricing	304	START	1395137245696
SCENARIO	Pricing	396	START	1395137245697
SCENARIO	Pricing	467	START	1395137245697
SCENARIO	Pricing	555	START	1395137245697
SCENARIO	Pricing	540	START	1395137245697
SCENARIO	Pricing	435	START	1395137245697
SCENARIO	Pricing	140	START	1395137245697
SCENARIO	Pricing	255	START	1395137245697
SCENARIO	Pricing	556	START	1395137245697
SCENARIO	Pricing	315	START	1395137245697
SCENARIO	Pricing	394	START	1395137245697
SCENARIO	Pricing	449	START	1395137245698
SCENARIO	Pricing	377	START	1395137245698
SCENARIO	Pricing	9	START	1395137245698
SCENARIO	Pricing	476	START	1395137245698
SCENARIO	Pricing	514	START	1395137245698
SCENARIO	Pricing	60	START	1395137245698
