RUN	20140318090909	pricingsimulation	pricingsimulation
SCENARIO	Pricing	2	START	1395133752342
SCENARIO	Pricing	1	START	1395133752345
SCENARIO	Pricing	4	START	1395133752345
SCENARIO	Pricing	3	START	1395133752345
ACTION	Pricing	1	price	1395133752417	1395133752431	1395133752910	1395133752937	OK	 
ACTION	Pricing	2	price	1395133752419	1395133752433	1395133752913	1395133752936	OK	 
ACTION	Pricing	4	price	1395133752417	1395133752432	1395133752913	1395133752936	OK	 
ACTION	Pricing	3	price	1395133752420	1395133752431	1395133752913	1395133752937	OK	 
ACTION	Pricing	1	price	1395133753107	1395133753109	1395133753195	1395133753195	OK	 
ACTION	Pricing	2	price	1395133753110	1395133753116	1395133753206	1395133753207	OK	 
ACTION	Pricing	3	price	1395133753122	1395133753124	1395133753213	1395133753214	OK	 
ACTION	Pricing	4	price	1395133753120	1395133753122	1395133753221	1395133753222	OK	 
ACTION	Pricing	1	price	1395133753198	1395133753200	1395133753290	1395133753290	OK	 
ACTION	Pricing	2	price	1395133753209	1395133753211	1395133753306	1395133753306	OK	 
ACTION	Pricing	3	price	1395133753224	1395133753227	1395133753313	1395133753313	OK	 
ACTION	Pricing	4	price	1395133753225	1395133753227	1395133753316	1395133753316	OK	 
ACTION	Pricing	1	price	1395133753294	1395133753294	1395133753384	1395133753384	OK	 
ACTION	Pricing	2	price	1395133753308	1395133753309	1395133753393	1395133753394	OK	 
ACTION	Pricing	3	price	1395133753315	1395133753319	1395133753406	1395133753406	OK	 
ACTION	Pricing	4	price	1395133753318	1395133753320	1395133753412	1395133753412	OK	 
ACTION	Pricing	1	price	1395133753386	1395133753387	1395133753473	1395133753474	OK	 
ACTION	Pricing	2	price	1395133753395	1395133753397	1395133753477	1395133753477	OK	 
ACTION	Pricing	3	price	1395133753408	1395133753411	1395133753490	1395133753490	OK	 
ACTION	Pricing	4	price	1395133753414	1395133753415	1395133753498	1395133753498	OK	 
ACTION	Pricing	1	price	1395133753475	1395133753476	1395133753562	1395133753562	OK	 
ACTION	Pricing	2	price	1395133753479	1395133753479	1395133753567	1395133753567	OK	 
ACTION	Pricing	3	price	1395133753492	1395133753498	1395133753580	1395133753580	OK	 
ACTION	Pricing	4	price	1395133753500	1395133753501	1395133753587	1395133753587	OK	 
ACTION	Pricing	1	price	1395133753564	1395133753566	1395133753655	1395133753655	OK	 
ACTION	Pricing	2	price	1395133753569	1395133753570	1395133753662	1395133753663	OK	 
ACTION	Pricing	3	price	1395133753582	1395133753584	1395133753672	1395133753672	OK	 
ACTION	Pricing	4	price	1395133753589	1395133753590	1395133753676	1395133753677	OK	 
ACTION	Pricing	2	price	1395133753664	1395133753666	1395133753742	1395133753742	OK	 
ACTION	Pricing	1	price	1395133753657	1395133753659	1395133753742	1395133753742	OK	 
ACTION	Pricing	4	price	1395133753678	1395133753679	1395133753756	1395133753756	OK	 
ACTION	Pricing	3	price	1395133753674	1395133753675	1395133753758	1395133753758	OK	 
ACTION	Pricing	2	price	1395133753744	1395133753747	1395133753821	1395133753822	OK	 
ACTION	Pricing	1	price	1395133753748	1395133753749	1395133753831	1395133753831	OK	 
ACTION	Pricing	3	price	1395133753760	1395133753761	1395133753845	1395133753845	OK	 
