RUN	20140318101119	pricingsimulation	pricingsimulation
SCENARIO	Pricing	316	START	1395137482543
SCENARIO	Pricing	714	START	1395137482546
SCENARIO	Pricing	262	START	1395137482546
SCENARIO	Pricing	406	START	1395137482546
SCENARIO	Pricing	719	START	1395137482546
SCENARIO	Pricing	401	START	1395137482546
SCENARIO	Pricing	283	START	1395137482547
SCENARIO	Pricing	18	START	1395137482547
SCENARIO	Pricing	148	START	1395137482547
SCENARIO	Pricing	964	START	1395137482547
SCENARIO	Pricing	445	START	1395137482547
SCENARIO	Pricing	494	START	1395137482547
SCENARIO	Pricing	874	START	1395137482547
SCENARIO	Pricing	389	START	1395137482547
SCENARIO	Pricing	535	START	1395137482547
SCENARIO	Pricing	504	START	1395137482548
SCENARIO	Pricing	462	START	1395137482548
SCENARIO	Pricing	258	START	1395137482548
SCENARIO	Pricing	801	START	1395137482548
SCENARIO	Pricing	766	START	1395137482548
SCENARIO	Pricing	899	START	1395137482548
SCENARIO	Pricing	45	START	1395137482548
SCENARIO	Pricing	108	START	1395137482548
SCENARIO	Pricing	270	START	1395137482548
SCENARIO	Pricing	600	START	1395137482548
SCENARIO	Pricing	938	START	1395137482549
SCENARIO	Pricing	424	START	1395137482549
SCENARIO	Pricing	911	START	1395137482549
SCENARIO	Pricing	357	START	1395137482549
SCENARIO	Pricing	765	START	1395137482550
SCENARIO	Pricing	615	START	1395137482550
SCENARIO	Pricing	761	START	1395137482550
SCENARIO	Pricing	497	START	1395137482550
SCENARIO	Pricing	881	START	1395137482550
SCENARIO	Pricing	317	START	1395137482550
SCENARIO	Pricing	597	START	1395137482551
SCENARIO	Pricing	145	START	1395137482551
SCENARIO	Pricing	189	START	1395137482551
SCENARIO	Pricing	858	START	1395137482551
SCENARIO	Pricing	76	START	1395137482551
SCENARIO	Pricing	441	START	1395137482552
SCENARIO	Pricing	418	START	1395137482552
SCENARIO	Pricing	956	START	1395137482553
SCENARIO	Pricing	914	START	1395137482554
SCENARIO	Pricing	780	START	1395137482554
SCENARIO	Pricing	407	START	1395137482561
SCENARIO	Pricing	478	START	1395137482561
SCENARIO	Pricing	566	START	1395137482561
SCENARIO	Pricing	446	START	1395137482561
SCENARIO	Pricing	664	START	1395137482561
SCENARIO	Pricing	266	START	1395137482561
SCENARIO	Pricing	460	START	1395137482561
