name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1323	1323	0	970	970	-1	3340	3340	-1	2337	2337	-1	209	209	-1	2480	2480	-1	2970	2970	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	12	0	t > 1200 ms	1311	99	failed	0	0	41	41	-1
price	1323	1323	0	970	970	-1	3340	3340	-1	2337	2337	-1	209	209	-1	2480	2480	-1	2970	2970	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	12	0	t > 1200 ms	1311	99	failed	0	0	41	41	-1

