RUN	20140318100526	pricingsimulation	pricingsimulation
SCENARIO	Pricing	140	START	1395137129593
SCENARIO	Pricing	164	START	1395137129593
SCENARIO	Pricing	5	START	1395137129593
SCENARIO	Pricing	280	START	1395137129593
SCENARIO	Pricing	148	START	1395137129593
SCENARIO	Pricing	366	START	1395137129593
SCENARIO	Pricing	431	START	1395137129593
SCENARIO	Pricing	463	START	1395137129593
SCENARIO	Pricing	145	START	1395137129593
SCENARIO	Pricing	393	START	1395137129593
SCENARIO	Pricing	470	START	1395137129593
SCENARIO	Pricing	53	START	1395137129593
SCENARIO	Pricing	386	START	1395137129593
SCENARIO	Pricing	32	START	1395137129593
SCENARIO	Pricing	311	START	1395137129593
SCENARIO	Pricing	357	START	1395137129593
SCENARIO	Pricing	452	START	1395137129593
SCENARIO	Pricing	310	START	1395137129593
SCENARIO	Pricing	185	START	1395137129593
SCENARIO	Pricing	491	START	1395137129593
SCENARIO	Pricing	274	START	1395137129593
SCENARIO	Pricing	29	START	1395137129593
SCENARIO	Pricing	101	START	1395137129593
SCENARIO	Pricing	435	START	1395137129593
SCENARIO	Pricing	16	START	1395137129593
SCENARIO	Pricing	362	START	1395137129593
SCENARIO	Pricing	375	START	1395137129593
SCENARIO	Pricing	127	START	1395137129594
SCENARIO	Pricing	416	START	1395137129594
SCENARIO	Pricing	55	START	1395137129594
SCENARIO	Pricing	84	START	1395137129594
SCENARIO	Pricing	173	START	1395137129594
SCENARIO	Pricing	399	START	1395137129594
SCENARIO	Pricing	411	START	1395137129594
SCENARIO	Pricing	490	START	1395137129594
SCENARIO	Pricing	406	START	1395137129594
SCENARIO	Pricing	313	START	1395137129594
SCENARIO	Pricing	163	START	1395137129602
SCENARIO	Pricing	486	START	1395137129602
SCENARIO	Pricing	410	START	1395137129602
SCENARIO	Pricing	320	START	1395137129602
SCENARIO	Pricing	428	START	1395137129602
SCENARIO	Pricing	80	START	1395137129602
SCENARIO	Pricing	354	START	1395137129602
SCENARIO	Pricing	379	START	1395137129603
SCENARIO	Pricing	218	START	1395137129603
SCENARIO	Pricing	340	START	1395137129603
SCENARIO	Pricing	283	START	1395137129603
SCENARIO	Pricing	208	START	1395137129603
SCENARIO	Pricing	39	START	1395137129603
SCENARIO	Pricing	418	START	1395137129603
SCENARIO	Pricing	347	START	1395137129603
SCENARIO	Pricing	154	START	1395137129603
SCENARIO	Pricing	152	START	1395137129603
SCENARIO	Pricing	355	START	1395137129603
SCENARIO	Pricing	233	START	1395137129603
SCENARIO	Pricing	230	START	1395137129604
SCENARIO	Pricing	194	START	1395137129604
SCENARIO	Pricing	371	START	1395137129604
SCENARIO	Pricing	275	START	1395137129604
SCENARIO	Pricing	263	START	1395137129604
SCENARIO	Pricing	115	START	1395137129605
SCENARIO	Pricing	303	START	1395137129605
SCENARIO	Pricing	255	START	1395137129605
SCENARIO	Pricing	226	START	1395137129605
SCENARIO	Pricing	1	START	1395137129605
SCENARIO	Pricing	351	START	1395137129605
SCENARIO	Pricing	497	START	1395137129605
SCENARIO	Pricing	162	START	1395137129606
SCENARIO	Pricing	209	START	1395137129606
SCENARIO	Pricing	241	START	1395137129606
SCENARIO	Pricing	459	START	1395137129606
SCENARIO	Pricing	364	START	1395137129606
SCENARIO	Pricing	186	START	1395137129606
SCENARIO	Pricing	35	START	1395137129606
SCENARIO	Pricing	476	START	1395137129606
SCENARIO	Pricing	71	START	1395137129606
SCENARIO	Pricing	60	START	1395137129606
SCENARIO	Pricing	457	START	1395137129606
SCENARIO	Pricing	396	START	1395137129606
SCENARIO	Pricing	94	START	1395137129606
SCENARIO	Pricing	220	START	1395137129607
SCENARIO	Pricing	42	START	1395137129607
SCENARIO	Pricing	279	START	1395137129607
SCENARIO	Pricing	266	START	1395137129607
SCENARIO	Pricing	202	START	1395137129607
SCENARIO	Pricing	224	START	1395137129607
SCENARIO	Pricing	93	START	1395137129607
SCENARIO	Pricing	248	START	1395137129607
SCENARIO	Pricing	341	START	1395137129607
SCENARIO	Pricing	79	START	1395137129607
SCENARIO	Pricing	204	START	1395137129608
SCENARIO	Pricing	239	START	1395137129608
SCENARIO	Pricing	2	START	1395137129608
SCENARIO	Pricing	206	START	1395137129608
SCENARIO	Pricing	397	START	1395137129608
SCENARIO	Pricing	62	START	1395137129608
SCENARIO	Pricing	468	START	1395137129608
SCENARIO	Pricing	86	START	1395137129608
SCENARIO	Pricing	324	START	1395137129608
SCENARIO	Pricing	345	START	1395137129608
SCENARIO	Pricing	307	START	1395137129608
SCENARIO	Pricing	159	START	1395137129608
SCENARIO	Pricing	284	START	1395137129608
SCENARIO	Pricing	329	START	1395137129608
SCENARIO	Pricing	316	START	1395137129608
SCENARIO	Pricing	261	START	1395137129609
SCENARIO	Pricing	342	START	1395137129609
SCENARIO	Pricing	344	START	1395137129609
SCENARIO	Pricing	54	START	1395137129609
SCENARIO	Pricing	382	START	1395137129609
SCENARIO	Pricing	219	START	1395137129609
SCENARIO	Pricing	88	START	1395137129609
SCENARIO	Pricing	388	START	1395137129609
SCENARIO	Pricing	430	START	1395137129609
SCENARIO	Pricing	247	START	1395137129609
SCENARIO	Pricing	11	START	1395137129609
SCENARIO	Pricing	369	START	1395137129609
SCENARIO	Pricing	46	START	1395137129609
SCENARIO	Pricing	10	START	1395137129609
SCENARIO	Pricing	321	START	1395137129609
SCENARIO	Pricing	446	START	1395137129609
SCENARIO	Pricing	41	START	1395137129609
SCENARIO	Pricing	232	START	1395137129609
