name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	19	19	0	510	510	-1	25350	25350	-1	4741	4741	-1	8923	8923	-1	25350	25350	-1	25350	25350	-1	t < 800 ms	1	5	800 ms < t < 1200 ms	15	78	t > 1200 ms	3	15	failed	0	0	1	1	-1
price	19	19	0	510	510	-1	25350	25350	-1	4741	4741	-1	8923	8923	-1	25350	25350	-1	25350	25350	-1	t < 800 ms	1	5	800 ms < t < 1200 ms	15	78	t > 1200 ms	3	15	failed	0	0	1	1	-1

