name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	726	726	0	30	30	-1	3390	3390	-1	40	40	-1	125	125	-1	50	50	-1	50	50	-1	t < 800 ms	725	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	0	failed	0	0	24	24	-1
price	726	726	0	30	30	-1	3390	3390	-1	40	40	-1	125	125	-1	50	50	-1	50	50	-1	t < 800 ms	725	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	0	failed	0	0	24	24	-1

