users;iterations;duration
15;50000;120
15;100000;120
15;200000;120
15;300000;120
15;400000;120
15;500000;120
15;600000;120
15;750000;120
15;1000000;120
15;1500000;120
15;1750000;120
15;2000000;120
15;2500000;120
15;3000000;120
15;4000000;120
15;5000000;120
